﻿지역,시군구,매장명,주소,인스타그램 계정,인스타그램 URL,인스타그램 유형,동일 계정 매장 수,동일 계정 매장명,DM 메모,발송상태,매장 ID
서울,강남구,갓포라멘,서울 강남구 선릉로155길 21,@kappo_ramen,https://www.instagram.com/kappo_ramen/,프로필,1,,,미발송,15cc5586-e10d-4966-a545-1dd135292bba
서울,강남구,덴키라멘,서울 강남구 논현로30길 43,@project_denki,https://www.instagram.com/project_denki/,프로필,1,,,미발송,e6ca0f2d-c290-45aa-93bc-ded1ed333fec
서울,강남구,도쿄 멘친테이 혼포,서울 강남구 선릉로64길 11-5,@mct_kr,https://www.instagram.com/mct_kr/,프로필,1,,,미발송,5398a98d-8fa6-44fc-8061-ddea61a2ef73
서울,강남구,마이니치라멘 니보시점,서울 강남구 봉은사로63길 7 1층,@mainichi_ramen_niboshi,https://www.instagram.com/mainichi_ramen_niboshi/,프로필,1,,,미발송,af051083-af8d-4790-b3bc-a7d67c255436
서울,강남구,멘야 길조,서울 강남구 논현로76길 34 1층 102호,@menyagiljo,https://www.instagram.com/menyagiljo/,프로필,1,,,미발송,30816187-75c4-4076-a208-9399b310865f
서울,강남구,멘츠루 선릉점,서울 강남구 선릉로86길 17,@manchuru_seolleung,https://www.instagram.com/manchuru_seolleung/,프로필,1,,,미발송,c728160e-9747-478c-84a9-7912957c9ec3
서울,강남구,멘츠루 신사점,서울 강남구 강남대로162길 21,@menchuru_sinsa,https://www.instagram.com/menchuru_sinsa/,프로필,1,,,미발송,6c326587-7415-438b-be93-8b7532db602c
서울,강남구,부타노맥스,서울 강남구 학동로 338,@butanomax,https://www.instagram.com/butanomax/,프로필,1,,,미발송,c570acab-0b93-4e89-9427-e37273eeda37
서울,강남구,부탄츄 선릉점,서울 강남구 삼성로85길 33,@butanchu_seolleung,https://www.instagram.com/butanchu_seolleung/,프로필,1,,,미발송,b2ed7d04-e9e7-44b6-980f-cef143639a16
서울,강남구,산쇼쿠라멘 강남본점,서울 강남구 테헤란로4길 46,@san_sho_ku,https://www.instagram.com/san_sho_ku/,프로필,1,,,미발송,5a2e418f-0b1d-43de-85b8-23d117488a0a
서울,강남구,센자이료쿠,서울 강남구 선릉로161길 15-3,@senzairyoku,https://www.instagram.com/senzairyoku/,프로필,1,,,미발송,b43df684-e4b8-40c5-a03c-78af98099dbb
서울,강남구,시시오,서울 강남구 선릉로89길 7 지하1층,@sisio_seoul,https://www.instagram.com/sisio_seoul/,프로필,1,,,미발송,e5c0bac8-4f3e-4ab8-bd3b-a03d0ae62b7a
서울,강남구,아부라소바,서울 강남구 언주로134길 25,@aburasoba_nonhyun,https://www.instagram.com/aburasoba_nonhyun/,프로필,1,,,미발송,65d59aa1-b677-4a28-bf48-455e615c429e
